strategy,rebalance_date,fund_asof_date,ticker,weight,regime,regime_score,growth_score,score_rank,top_n,good_regimes,sma_window,require_above_sma,market_gate,market_ok,market_price,market_sma,market_sma_window,market_sma_mult,market_entry_mult,market_exit_mult
S2,2013-10-31,,,0.0,,,,,30,"4,3",140,True,True,False,1.000103797752948,,60,1.02,,
S2,2013-11-29,,,0.0,,,,,30,"4,3",140,True,True,False,1.0002215274448034,,60,1.02,,
S2,2013-12-30,,,0.0,,,,,30,"4,3",140,True,True,False,0.999773193923671,,60,1.02,,
S2,2014-01-29,,,0.0,,,,,30,"4,3",140,True,True,False,0.9994138344161865,0.9998460922675536,60,1.02,,
S2,2014-02-28,,,0.0,,,,,30,"4,3",140,True,True,False,0.9997029134668272,0.9996463917881251,60,1.02,,
S2,2014-03-31,,,0.0,,,,,30,"4,3",140,True,True,False,0.9996909018510207,0.9994967433511425,60,1.02,,
S2,2014-04-30,,,0.0,,,,,30,"4,3",140,True,True,False,0.9996975932369159,0.9996300815415081,60,1.02,,
S2,2014-05-30,,,0.0,,,,,30,"4,3",140,True,True,False,1.0000905454851436,0.9997644322468291,60,1.02,,
S2,2014-06-30,,,0.0,,,,,30,"4,3",140,True,True,False,0.9996360144745166,0.9998695495314318,60,1.02,,
S2,2014-07-31,,,0.0,,,,,30,"4,3",140,True,True,False,0.9997308912175575,0.9998114590993645,60,1.02,,
S2,2014-08-29,,,0.0,,,,,30,"4,3",140,True,True,False,0.9992901405482626,0.9996156641421751,60,1.02,,
S2,2014-09-30,,,0.0,,,,,30,"4,3",140,True,True,False,0.9990783032521388,0.9994072433906628,60,1.02,,
S2,2014-10-31,,,0.0,,,,,30,"4,3",140,True,True,False,0.9993709675298594,0.999107725628349,60,1.02,,
S2,2014-11-28,,,0.0,,,,,30,"4,3",140,True,True,False,0.9995753738594014,0.9990671092186457,60,1.02,,
S2,2014-12-30,,,0.0,,,,,30,"4,3",140,True,True,False,0.9997514314728608,0.9992689091496633,60,1.02,,
S2,2015-01-30,,,0.0,,,,,30,"4,3",140,True,True,True,1.027931384922738,1.001205536748381,60,1.02,,
S2,2015-02-27,,,0.0,,,,,30,"4,3",140,True,True,True,1.0682249759761098,1.0142881965714001,60,1.02,,
S2,2015-03-31,,,0.0,,,,,30,"4,3",140,True,True,True,1.101903719924555,1.0429891497843313,60,1.02,,
S2,2015-04-30,,,0.0,,,,,30,"4,3",140,True,True,True,1.1602595218216876,1.0940068244691359,60,1.02,,
S2,2015-05-29,,,0.0,,,,,30,"4,3",140,True,True,True,1.1655705431609993,1.1277820998260022,60,1.02,,
S2,2015-06-30,,,0.0,,,,,30,"4,3",140,True,True,False,1.1602450478800883,1.153133858510637,60,1.02,,
S2,2015-07-31,,,0.0,,,,,30,"4,3",140,True,True,False,1.137977485864967,1.1557721848008562,60,1.02,,
S2,2015-08-31,,,0.0,,,,,30,"4,3",140,True,True,False,1.115851541236964,1.1406373376527612,60,1.02,,
S2,2015-09-30,,,0.0,,,,,30,"4,3",140,True,True,False,1.1296726632722316,1.1282202094287614,60,1.02,,
S2,2015-10-30,,,0.0,,,,,30,"4,3",140,True,True,True,1.1383591214898128,1.1268375795482697,60,1.02,,
S2,2015-11-30,,,0.0,,,,,30,"4,3",140,True,True,False,1.1316029047697909,1.13312273197469,60,1.02,,
S2,2015-12-30,,,0.0,,,,,30,"4,3",140,True,True,False,1.119210636342498,1.1325584108545,60,1.02,,
S2,2016-01-29,,,0.0,,,,,30,"4,3",140,True,True,False,1.0986823419748464,1.111492755187873,60,1.02,,
S2,2016-02-29,,,0.0,,,,,30,"4,3",140,True,True,False,1.1022427209102914,1.0997015455091725,60,1.02,,
S2,2016-03-31,,,0.0,,,,,30,"4,3",140,True,True,True,1.1520339974615303,1.1085072323599838,60,1.02,,
S2,2016-04-29,,,0.0,,,,,30,"4,3",140,True,True,True,1.1706063228473198,1.1342356029278247,60,1.02,,
S2,2016-05-31,,,0.0,,,,,30,"4,3",140,True,True,False,1.1565382436937488,1.1513711720801438,60,1.02,,
S2,2016-06-30,,,0.0,,,,,30,"4,3",140,True,True,False,1.1350394461160673,1.150674737855114,60,1.02,,
S2,2016-07-29,,,0.0,,,,,30,"4,3",140,True,True,False,1.1636625477735314,1.1476217412012097,60,1.02,,
S2,2016-08-31,,,0.0,,,,,30,"4,3",140,True,True,True,1.1654987155903298,1.1559066010599846,60,1.02,,
S2,2016-09-30,,,0.0,,,,,30,"4,3",140,True,True,False,1.1693674546313477,1.16486175475179,60,1.02,,
S2,2016-10-31,,,0.0,,,,,30,"4,3",140,True,True,False,1.1347625221781787,1.16685877721309,60,1.02,,
S2,2016-11-30,,,0.0,,,,,30,"4,3",140,True,True,False,1.1091022629938463,1.1515031268725198,60,1.02,,
S2,2016-12-29,,,0.0,,,,,30,"4,3",140,True,True,False,1.125711486810317,1.1350895853565057,60,1.02,,
S2,2017-01-31,,,0.0,,,,,30,"4,3",140,True,True,True,1.1400817918329038,1.1310391514589972,60,1.02,,
S2,2017-02-28,,000660,0.03333333333333333,3.0,0.6358024691358025,151.5,5.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,000990,0.03333333333333333,4.0,0.8950617283950617,151.5,7.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,003230,0.03333333333333333,4.0,0.808641975308642,151.5,14.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,003550,0.03333333333333333,3.0,0.6481481481481481,151.5,17.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,003670,0.03333333333333333,3.0,0.6666666666666666,151.5,19.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,004020,0.03333333333333333,4.0,0.9135802469135802,151.5,20.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,004170,0.03333333333333333,3.0,0.654320987654321,151.5,21.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,004990,0.03333333333333333,3.0,0.6790123456790124,151.5,24.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,005490,0.03333333333333333,3.0,0.6419753086419753,151.5,27.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,005850,0.03333333333333333,4.0,0.9753086419753086,151.5,28.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,005930,0.03333333333333333,3.0,0.7962962962962963,151.5,29.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,006040,0.03333333333333333,3.0,0.7098765432098766,151.5,30.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,006260,0.03333333333333333,3.0,0.6049382716049383,151.5,31.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,006360,0.03333333333333333,4.0,0.9012345679012346,151.5,33.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,006400,0.03333333333333333,4.0,0.9814814814814815,151.5,34.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,007070,0.03333333333333333,3.0,0.7839506172839507,151.5,36.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,007310,0.03333333333333333,3.0,0.7654320987654321,151.5,37.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,007340,0.03333333333333333,3.0,0.6851851851851852,151.5,38.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,007660,0.03333333333333333,4.0,0.8024691358024691,151.5,40.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,009150,0.03333333333333333,4.0,0.9259259259259259,151.5,43.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,010060,0.03333333333333333,4.0,0.8703703703703703,151.5,48.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,010120,0.03333333333333333,3.0,0.7222222222222222,151.5,49.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,010140,0.03333333333333333,4.0,0.9382716049382716,151.5,51.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,011070,0.03333333333333333,4.0,1.0,151.5,53.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,011170,0.03333333333333333,3.0,0.7530864197530864,151.5,54.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,017960,0.03333333333333333,3.0,0.7407407407407407,151.5,67.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,020150,0.03333333333333333,4.0,0.9506172839506173,151.5,72.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,022100,0.03333333333333333,3.0,0.691358024691358,151.5,75.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,028050,0.03333333333333333,4.0,0.9629629629629629,151.5,81.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-02-28,,028670,0.03333333333333333,4.0,0.9691358024691358,151.5,84.0,30,"4,3",140,True,True,True,1.1800355776006655,1.1444160630659033,60,1.02,1.02,1.0
S2,2017-03-31,,000100,0.03333333333333333,3.0,0.6604938271604939,31.0,24.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,000660,0.03333333333333333,3.0,0.654320987654321,85.19999999999999,87.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,000990,0.03333333333333333,4.0,0.8950617283950617,25.699999999999996,20.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,001120,0.03333333333333333,3.0,0.6172839506172839,63.3,65.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,001430,0.03333333333333333,3.0,0.6111111111111112,74.39999999999999,78.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,003230,0.03333333333333333,4.0,0.9876543209876543,10.799999999999999,6.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,005490,0.03333333333333333,3.0,0.7469135802469136,71.89999999999999,77.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,005930,0.03333333333333333,3.0,0.7962962962962963,61.8,60.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,006360,0.03333333333333333,4.0,0.8518518518518519,48.3,40.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,006400,0.03333333333333333,4.0,0.9506172839506173,65.69999999999999,68.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,007310,0.03333333333333333,3.0,0.7654320987654321,47.2,39.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,009150,0.03333333333333333,4.0,0.9691358024691358,81.5,83.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,010140,0.03333333333333333,4.0,0.8641975308641975,59.699999999999996,57.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,010950,0.03333333333333333,4.0,0.8827160493827161,62.5,63.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,011070,0.03333333333333333,4.0,0.9938271604938271,84.6,86.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,012510,0.03333333333333333,4.0,0.8271604938271605,33.699999999999996,26.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,017670,0.03333333333333333,3.0,0.6851851851851852,71.8,76.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,017800,0.03333333333333333,4.0,0.8703703703703703,24.799999999999997,18.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,022100,0.03333333333333333,4.0,0.9135802469135802,39.9,31.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
S2,2017-03-31,,028670,0.03333333333333333,4.0,0.9753086419753086,66.5,69.0,30,"4,3",140,True,True,True,1.201639744372684,1.166554202254081,60,1.02,1.02,1.0
