rebalance_date,side,buy_date,ticker,name,market,price,qty,amount,first_buy_date,sell_price,pnl
2013-10-16,BUY,2013-10-16,CASH,,,,1,,2013-10-16,,
2017-03-03,BUY,2017-03-03,000660,SK하이닉스,KOSPI,47100.0,1,47100.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,000990,DB하이텍,KOSPI,18350.0,1,18350.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,001430,세아베스틸지주,KOSPI,26800.0,1,26800.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,003230,삼양식품,KOSPI,54300.0,1,54300.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,003550,LG,KOSPI,59514.0,1,59514.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,003670,포스코퓨처엠,KOSPI,12099.0,1,12099.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,004020,현대제철,KOSPI,62200.0,1,62200.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,004990,롯데지주,KOSPI,75759.0,1,75759.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,005490,POSCO홀딩스,KOSPI,287500.0,1,287500.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,005850,에스엘,KOSPI,18254.0,1,18254.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,005930,삼성전자,KOSPI,39620.0,1,39620.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,006040,동원산업,KOSPI,66380.0,1,66380.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,006260,LS,KOSPI,65200.0,1,65200.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,006360,GS건설,KOSPI,30100.0,1,30100.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,006400,삼성SDI,KOSPI,122379.0,1,122379.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,007070,GS리테일,KOSPI,43705.0,1,43705.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,007660,이수페타시스,KOSPI,3914.0,1,3914.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,009150,삼성전기,KOSPI,58700.0,1,58700.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,010120,LS ELECTRIC,KOSPI,43700.0,1,43700.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,010140,삼성중공업,KOSPI,9455.0,1,9455.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,011070,LG이노텍,KOSPI,125000.0,1,125000.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,011170,롯데케미칼,KOSPI,348141.0,1,348141.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,017960,한국카본,KOSPI,6940.0,1,6940.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,021240,코웨이,KOSPI,90000.0,1,90000.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,022100,포스코DX,KOSPI,6140.0,1,6140.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,028050,삼성E&A,KOSPI,13050.0,1,13050.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,028670,팬오션,KOSPI,5230.0,1,5230.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,030000,제일기획,KOSPI,18700.0,1,18700.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,032640,LG유플러스,KOSPI,13450.0,1,13450.0,2017-03-03,,
2017-03-03,BUY,2017-03-03,035720,카카오,KOSPI,17221.0,1,17221.0,2017-03-03,,
2017-03-08,BUY,2017-03-08,012510,더존비즈온,KOSPI,23850.0,1,23850.0,2017-03-08,,
2017-03-08,BUY,2017-03-08,020150,롯데에너지머티리얼즈,KOSPI,14523.0,1,14523.0,2017-03-08,,
2017-03-08,BUY,2017-03-08,036570,엔씨소프트,KOSPI,283000.0,1,283000.0,2017-03-08,,
2017-03-08,BUY,2017-03-08,042700,한미반도체,KOSPI,3100.0,1,3100.0,2017-03-08,,
2017-03-08,BUY,2017-03-08,047040,대우건설,KOSPI,6360.0,1,6360.0,2017-03-08,,
2017-03-08,SELL,2017-03-03,000660,SK하이닉스,KOSPI,,1,48000.0,2017-03-03,48000.0,900.0
2017-03-08,SELL,2017-03-03,005850,에스엘,KOSPI,,1,16819.0,2017-03-03,16819.0,-1435.0
2017-03-08,SELL,2017-03-03,006040,동원산업,KOSPI,,1,64470.0,2017-03-03,64470.0,-1910.0
2017-03-08,SELL,2017-03-03,006260,LS,KOSPI,,1,65200.0,2017-03-03,65200.0,0.0
2017-03-08,SELL,2017-03-03,021240,코웨이,KOSPI,,1,89200.0,2017-03-03,89200.0,-800.0
2017-03-15,BUY,2017-03-15,000660,SK하이닉스,KOSPI,48800.0,1,48800.0,2017-03-15,,
2017-03-15,BUY,2017-03-15,003490,대한항공,KOSPI,18934.0,1,18934.0,2017-03-15,,
2017-03-15,BUY,2017-03-15,007310,오뚜기,KOSPI,713000.0,1,713000.0,2017-03-15,,
2017-03-15,BUY,2017-03-15,007340,DN오토모티브,KOSPI,8251.0,1,8251.0,2017-03-15,,
2017-03-15,BUY,2017-03-15,010950,S-Oil,KOSPI,93700.0,1,93700.0,2017-03-15,,
2017-03-15,BUY,2017-03-15,017670,SK텔레콤,KOSPI,44428.0,1,44428.0,2017-03-15,,
2017-03-15,BUY,2017-03-15,030200,KT,KOSPI,32700.0,1,32700.0,2017-03-15,,
2017-03-15,SELL,2017-03-03,001430,세아베스틸지주,KOSPI,,1,27050.0,2017-03-03,27050.0,250.0
2017-03-15,SELL,2017-03-03,005490,POSCO홀딩스,KOSPI,,1,277500.0,2017-03-03,277500.0,-10000.0
2017-03-15,SELL,2017-03-03,007070,GS리테일,KOSPI,,1,42379.0,2017-03-03,42379.0,-1326.0
2017-03-15,SELL,2017-03-03,011170,롯데케미칼,KOSPI,,1,347189.0,2017-03-03,347189.0,-952.0
2017-03-15,SELL,2017-03-03,035720,카카오,KOSPI,,1,16498.0,2017-03-03,16498.0,-723.0
2017-03-15,SELL,2017-03-08,042700,한미반도체,KOSPI,,1,3180.0,2017-03-08,3180.0,80.0
2017-03-15,SELL,2017-03-08,047040,대우건설,KOSPI,,1,6380.0,2017-03-08,6380.0,20.0
2017-03-22,BUY,2017-03-22,005490,POSCO홀딩스,KOSPI,280500.0,1,280500.0,2017-03-22,,
2017-03-22,BUY,2017-03-22,018260,삼성에스디에스,KOSPI,145000.0,1,145000.0,2017-03-22,,
2017-03-22,BUY,2017-03-22,035720,카카오,KOSPI,17382.0,1,17382.0,2017-03-22,,
2017-03-22,BUY,2017-03-22,042700,한미반도체,KOSPI,3200.0,1,3200.0,2017-03-22,,
2017-03-22,SELL,2017-03-03,004990,롯데지주,KOSPI,,1,74988.0,2017-03-03,74988.0,-771.0
2017-03-22,SELL,2017-03-15,007310,오뚜기,KOSPI,,1,714000.0,2017-03-15,714000.0,1000.0
2017-03-22,SELL,2017-03-15,007340,DN오토모티브,KOSPI,,1,8041.0,2017-03-15,8041.0,-210.0
2017-03-22,SELL,2017-03-03,007660,이수페타시스,KOSPI,,1,3767.0,2017-03-03,3767.0,-147.0
2017-03-29,BUY,2017-03-29,000100,유한양행,KOSPI,32824.0,1,32824.0,2017-03-29,,
2017-03-29,BUY,2017-03-29,001430,세아베스틸지주,KOSPI,28700.0,1,28700.0,2017-03-29,,
2017-03-29,BUY,2017-03-29,004990,롯데지주,KOSPI,76723.0,1,76723.0,2017-03-29,,
2017-03-29,BUY,2017-03-29,007070,GS리테일,KOSPI,44988.0,1,44988.0,2017-03-29,,
2017-03-29,BUY,2017-03-29,007310,오뚜기,KOSPI,762000.0,1,762000.0,2017-03-29,,
2017-03-29,BUY,2017-03-29,017800,현대엘리베이터,KOSPI,42149.0,1,42149.0,2017-03-29,,
2017-03-29,SELL,2017-03-03,004020,현대제철,KOSPI,,1,58500.0,2017-03-03,58500.0,-3700.0
2017-03-29,SELL,2017-03-22,018260,삼성에스디에스,KOSPI,,1,132500.0,2017-03-22,132500.0,-12500.0
2017-03-29,SELL,2017-03-15,030200,KT,KOSPI,,1,31900.0,2017-03-15,31900.0,-800.0
2017-03-29,SELL,2017-03-22,035720,카카오,KOSPI,,1,16820.0,2017-03-22,16820.0,-562.0
2017-03-29,SELL,2017-03-08,036570,엔씨소프트,KOSPI,,1,304500.0,2017-03-08,304500.0,21500.0
2017-03-29,SELL,2017-03-22,042700,한미반도체,KOSPI,,1,3290.0,2017-03-22,3290.0,90.0
2017-04-05,BUY,2017-04-05,004170,신세계,KOSPI,194000.0,1,194000.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,007660,이수페타시스,KOSPI,4195.0,1,4195.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,034230,파라다이스,KOSPI,14150.0,1,14150.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,036570,엔씨소프트,KOSPI,319500.0,1,319500.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,042700,한미반도체,KOSPI,3450.0,1,3450.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,051600,한전KPS,KOSPI,60700.0,1,60700.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,064350,현대로템,KOSPI,20600.0,1,20600.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,066570,LG전자,KOSPI,67200.0,1,67200.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,069620,대웅제약,KOSPI,88400.0,1,88400.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,097230,HJ중공업,KOSPI,40368.0,1,40368.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,139480,이마트,KOSPI,212500.0,1,212500.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,161890,한국콜마,KOSPI,76300.0,1,76300.0,2017-04-05,,
2017-04-05,BUY,2017-04-05,192820,코스맥스,KOSPI,137233.0,1,137233.0,2017-04-05,,
2017-04-05,SELL,2017-03-15,000660,SK하이닉스,KOSPI,,1,50300.0,2017-03-15,50300.0,1500.0
2017-04-05,SELL,2017-03-29,001430,세아베스틸지주,KOSPI,,1,27300.0,2017-03-29,27300.0,-1400.0
2017-04-05,SELL,2017-03-15,003490,대한항공,KOSPI,,1,20069.0,2017-03-15,20069.0,1135.0
2017-04-05,SELL,2017-03-03,003550,LG,KOSPI,,1,64426.0,2017-03-03,64426.0,4912.0
2017-04-05,SELL,2017-03-03,003670,포스코퓨처엠,KOSPI,,1,13601.0,2017-03-03,13601.0,1502.0
2017-04-05,SELL,2017-03-29,004990,롯데지주,KOSPI,,1,75566.0,2017-03-29,75566.0,-1157.0
2017-04-05,SELL,2017-03-29,007070,GS리테일,KOSPI,,1,45073.0,2017-03-29,45073.0,85.0
2017-04-05,SELL,2017-03-03,010120,LS ELECTRIC,KOSPI,,1,47100.0,2017-03-03,47100.0,3400.0
2017-04-05,SELL,2017-03-29,017800,현대엘리베이터,KOSPI,,1,40481.0,2017-03-29,40481.0,-1668.0
2017-04-05,SELL,2017-03-08,020150,롯데에너지머티리얼즈,KOSPI,,1,16798.0,2017-03-08,16798.0,2275.0
2017-04-05,SELL,2017-03-03,028050,삼성E&A,KOSPI,,1,12500.0,2017-03-03,12500.0,-550.0
2017-04-05,SELL,2017-03-03,030000,제일기획,KOSPI,,1,18400.0,2017-03-03,18400.0,-300.0
2017-04-05,SELL,2017-03-03,032640,LG유플러스,KOSPI,,1,14200.0,2017-03-03,14200.0,750.0
2017-04-12,BUY,2017-04-12,001430,세아베스틸지주,KOSPI,27050.0,1,27050.0,2017-04-12,,
2017-04-12,BUY,2017-04-12,018670,SK가스,KOSPI,118376.0,1,118376.0,2017-04-12,,
2017-04-12,BUY,2017-04-12,021240,코웨이,KOSPI,98100.0,1,98100.0,2017-04-12,,
2017-04-12,BUY,2017-04-12,112610,씨에스윈드,KOSPI,9015.0,1,9015.0,2017-04-12,,
2017-04-12,SELL,2017-03-03,010140,삼성중공업,KOSPI,,1,8746.0,2017-03-03,8746.0,-709.0
2017-04-12,SELL,2017-04-05,064350,현대로템,KOSPI,,1,21700.0,2017-04-05,21700.0,1100.0
2017-04-12,SELL,2017-04-05,097230,HJ중공업,KOSPI,,1,38747.0,2017-04-05,38747.0,-1621.0
2017-04-12,SELL,2017-04-05,161890,한국콜마,KOSPI,,1,72800.0,2017-04-05,72800.0,-3500.0
2017-04-19,BUY,2017-04-19,006280,녹십자,KOSPI,161000.0,1,161000.0,2017-04-19,,
2017-04-19,BUY,2017-04-19,008770,호텔신라,KOSPI,50800.0,1,50800.0,2017-04-19,,
2017-04-19,BUY,2017-04-19,012450,한화에어로스페이스,KOSPI,50117.0,1,50117.0,2017-04-19,,
2017-04-19,BUY,2017-04-19,012750,에스원,KOSPI,94500.0,1,94500.0,2017-04-19,,
2017-04-19,BUY,2017-04-19,034730,SK,KOSPI,233000.0,1,233000.0,2017-04-19,,
2017-04-19,BUY,2017-04-19,069960,현대백화점,KOSPI,108000.0,1,108000.0,2017-04-19,,
2017-04-19,BUY,2017-04-19,161890,한국콜마,KOSPI,79700.0,1,79700.0,2017-04-19,,
2017-04-19,SELL,2017-04-12,001430,세아베스틸지주,KOSPI,,1,26150.0,2017-04-12,26150.0,-900.0
2017-04-19,SELL,2017-03-22,005490,POSCO홀딩스,KOSPI,,1,261500.0,2017-03-22,261500.0,-19000.0
2017-04-19,SELL,2017-03-03,009150,삼성전기,KOSPI,,1,68200.0,2017-03-03,68200.0,9500.0
2017-04-19,SELL,2017-03-03,011070,LG이노텍,KOSPI,,1,135000.0,2017-03-03,135000.0,10000.0
2017-04-19,SELL,2017-03-15,017670,SK텔레콤,KOSPI,,1,42875.0,2017-03-15,42875.0,-1553.0
2017-04-19,SELL,2017-04-12,021240,코웨이,KOSPI,,1,103500.0,2017-04-12,103500.0,5400.0
2017-04-19,SELL,2017-04-05,051600,한전KPS,KOSPI,,1,59400.0,2017-04-05,59400.0,-1300.0
2017-04-26,BUY,2017-04-26,009150,삼성전기,KOSPI,70600.0,1,70600.0,2017-04-26,,
2017-04-26,BUY,2017-04-26,017800,현대엘리베이터,KOSPI,41815.0,1,41815.0,2017-04-26,,
2017-04-26,BUY,2017-04-26,018260,삼성에스디에스,KOSPI,146500.0,1,146500.0,2017-04-26,,
2017-04-26,BUY,2017-04-26,021240,코웨이,KOSPI,101500.0,1,101500.0,2017-04-26,,
2017-04-26,BUY,2017-04-26,079550,LIG넥스원,KOSPI,86800.0,1,86800.0,2017-04-26,,
2017-04-26,BUY,2017-04-26,082740,한화엔진,KOSPI,2078.0,1,2078.0,2017-04-26,,
2017-04-26,SELL,2017-04-05,007660,이수페타시스,KOSPI,,1,4108.0,2017-04-05,4108.0,-87.0
2017-04-26,SELL,2017-04-19,012750,에스원,KOSPI,,1,97100.0,2017-04-19,97100.0,2600.0
2017-04-26,SELL,2017-03-03,017960,한국카본,KOSPI,,1,6600.0,2017-03-03,6600.0,-340.0
2017-04-26,SELL,2017-04-12,018670,SK가스,KOSPI,,1,117888.0,2017-04-12,117888.0,-488.0
2017-04-26,SELL,2017-04-05,034230,파라다이스,KOSPI,,1,14500.0,2017-04-05,14500.0,350.0
2017-04-26,SELL,2017-04-05,192820,코스맥스,KOSPI,,1,139684.0,2017-04-05,139684.0,2451.0
2017-05-04,BUY,2017-05-04,012750,에스원,KOSPI,98400.0,1,98400.0,2017-05-04,,
2017-05-04,BUY,2017-05-04,018670,SK가스,KOSPI,113504.0,1,113504.0,2017-05-04,,
2017-05-04,BUY,2017-05-04,034230,파라다이스,KOSPI,14850.0,1,14850.0,2017-05-04,,
2017-05-04,BUY,2017-05-04,192820,코스맥스,KOSPI,146055.0,1,146055.0,2017-05-04,,
2017-05-04,SELL,2017-03-03,006360,GS건설,KOSPI,,1,29650.0,2017-03-03,29650.0,-450.0
2017-05-04,SELL,2017-04-26,009150,삼성전기,KOSPI,,1,75000.0,2017-04-26,75000.0,4400.0
2017-05-04,SELL,2017-04-26,017800,현대엘리베이터,KOSPI,,1,43349.0,2017-04-26,43349.0,1534.0
2017-05-04,SELL,2017-04-26,079550,LIG넥스원,KOSPI,,1,79500.0,2017-04-26,79500.0,-7300.0
2017-05-10,BUY,2017-05-10,000120,CJ대한통운,KOSPI,178500.0,1,178500.0,2017-05-10,,
2017-05-10,BUY,2017-05-10,002790,아모레퍼시픽홀딩스,KOSPI,150154.0,1,150154.0,2017-05-10,,
2017-05-10,BUY,2017-05-10,017800,현대엘리베이터,KOSPI,43549.0,1,43549.0,2017-05-10,,
2017-05-10,BUY,2017-05-10,051900,LG생활건강,KOSPI,962000.0,1,962000.0,2017-05-10,,
2017-05-10,BUY,2017-05-10,090430,아모레퍼시픽,KOSPI,344500.0,1,344500.0,2017-05-10,,
2017-05-10,SELL,2017-03-03,006400,삼성SDI,KOSPI,,1,138533.0,2017-03-03,138533.0,16154.0
2017-05-10,SELL,2017-04-26,018260,삼성에스디에스,KOSPI,,1,145000.0,2017-04-26,145000.0,-1500.0
2017-05-10,SELL,2017-04-26,021240,코웨이,KOSPI,,1,106500.0,2017-04-26,106500.0,5000.0
2017-05-10,SELL,2017-03-03,028670,팬오션,KOSPI,,1,4945.0,2017-03-03,4945.0,-285.0
2017-05-10,SELL,2017-04-19,034730,SK,KOSPI,,1,245500.0,2017-04-19,245500.0,12500.0
2017-05-17,BUY,2017-05-17,001040,CJ,KOSPI,192837.0,1,192837.0,2017-05-17,,
2017-05-17,BUY,2017-05-17,018260,삼성에스디에스,KOSPI,148000.0,1,148000.0,2017-05-17,,
2017-05-17,BUY,2017-05-17,020560,아시아나항공,KOSPI,23148.0,1,23148.0,2017-05-17,,
2017-05-17,BUY,2017-05-17,034730,SK,KOSPI,261500.0,1,261500.0,2017-05-17,,
2017-05-17,BUY,2017-05-17,056190,에스에프에이,KOSDAQ,45000.0,1,45000.0,2017-05-17,,
2017-05-17,BUY,2017-05-17,064260,다날,KOSDAQ,5068.0,1,5068.0,2017-05-17,,
2017-05-17,BUY,2017-05-17,065350,신성델타테크,KOSDAQ,3500.0,1,3500.0,2017-05-17,,
