window,segment,mode,cagr,mdd,sharpe,avg_daily_ret,vol_daily,days,start,end
1y,ALL,fullcurve,0.6217282437119218,-0.13030369695645683,2.1923525957453904,0.002183685980635003,0.015811754160614217,247,2025-02-06,2026-02-06
1y,GATE_ON,fullcurve,0.6217282437119218,-0.13030369695645672,2.339163930403613,0.0024190647242110187,0.016416746810542015,228,2025-02-06,2026-02-06
1y,GATE_ON,chain,0.6417321072445863,-0.13030369695645683,2.339163930403613,0.0024190647242110187,0.016416746810542015,228,2025-02-06,2026-02-06
1y,GATE_OFF,fullcurve,0.0,0.0,-3.7416573867739413,-0.0006408589422771801,0.002718934223209394,19,2025-03-31,2025-04-24
1y,GATE_OFF,chain,0.0,0.0,-3.7416573867739413,-0.0006408589422771801,0.002718934223209394,19,2025-03-31,2025-04-24
2y,ALL,fullcurve,0.35097948237309895,-0.13030369695645683,1.6671045484817297,0.0013153555488747556,0.012525082501109648,487,2024-02-06,2026-02-06
2y,GATE_ON,fullcurve,0.35097948237309895,-0.13030369695645683,2.1888827745030675,0.0019235353110381046,0.013950119568774474,377,2024-02-06,2026-02-06
2y,GATE_ON,chain,0.4101909968026425,-0.13030369695645705,2.1888827745030675,0.0019235353110381046,0.013950119568774474,377,2024-02-06,2026-02-06
2y,GATE_OFF,fullcurve,0.11317268569702632,-0.0578687366492735,-2.6051213374914295,-0.0007690423632669048,0.004686218975512848,110,2024-04-16,2025-04-24
2y,GATE_OFF,chain,-0.0806290132222438,-0.08226746276119312,-2.6051213374914295,-0.0007690423632669048,0.004686218975512848,110,2024-04-16,2025-04-24
3y,ALL,fullcurve,0.3261521544918684,-0.13030369695645683,1.6414007516124893,0.0012129455466470104,0.011730781530855244,734,2023-02-06,2026-02-06
3y,GATE_ON,fullcurve,0.3261521544918684,-0.13030369695645683,2.0739543557462246,0.0016932716072164346,0.012960677448957836,556,2023-02-06,2026-02-06
3y,GATE_ON,chain,0.3505553286219836,-0.13030369695645705,2.0739543557462246,0.0016932716072164346,0.012960677448957836,556,2023-02-06,2026-02-06
3y,GATE_OFF,fullcurve,0.19364040456901654,-0.05786873664927339,-0.7233350438659337,-0.00028739877737883114,0.006307331838793114,178,2023-03-10,2025-04-24
3y,GATE_OFF,chain,-0.015180506460148568,-0.099587810465119,-0.7233350438659337,-0.00028739877737883114,0.006307331838793114,178,2023-03-10,2025-04-24
5y,ALL,fullcurve,0.16074181147404132,-0.25549240435872034,1.0558492845376388,0.0006559379884046641,0.009861912025968771,1226,2021-02-08,2026-02-06
5y,GATE_ON,fullcurve,0.16074181147404132,-0.22332299256571997,1.7163350350820574,0.0012607278083196613,0.011660563410678823,781,2021-02-08,2026-02-06
5y,GATE_ON,chain,0.20495417716455866,-0.13030369695645705,1.7163350350820574,0.0012607278083196613,0.011660563410678823,781,2021-02-08,2026-02-06
5y,GATE_OFF,fullcurve,0.03864000137739265,-0.2453966349098562,-1.226446466737691,-0.0004055021225023308,0.005248616069336237,445,2021-08-03,2025-04-24
5y,GATE_OFF,chain,-0.04890011290465157,-0.17029158502836728,-1.226446466737691,-0.0004055021225023308,0.005248616069336237,445,2021-08-03,2025-04-24
