window,segment,mode,cagr,mdd,sharpe,avg_daily_ret,vol_daily,days,start,end
1y,ALL,fullcurve,0.9578165717223541,-0.12478287736669347,2.7584380250572473,0.002962682941390998,0.017049914927034667,247,2025-02-06,2026-02-06
1y,GATE_ON,fullcurve,0.9578165717223541,-0.12478287736669347,2.888455767211071,0.003212088578965413,0.01765314393702951,228,2025-02-06,2026-02-06
1y,GATE_ON,chain,0.9594921889113905,-0.12478287736669336,2.888455767211071,0.003212088578965413,0.01765314393702951,228,2025-02-06,2026-02-06
1y,GATE_OFF,fullcurve,0.11910751588063628,-0.011497811146551129,-0.08779258479443428,-3.018470950198721e-05,0.005457948522143253,19,2025-03-31,2025-04-24
1y,GATE_OFF,chain,0.11910751588063628,-0.01149781114655124,-0.08779258479443428,-3.018470950198721e-05,0.005457948522143253,19,2025-03-31,2025-04-24
2y,ALL,fullcurve,0.5186253729783921,-0.12478287736669347,2.0167719501505643,0.0018209848357244507,0.01433341935220892,487,2024-02-06,2026-02-06
2y,GATE_ON,fullcurve,0.5186253729783921,-0.12478287736669347,2.6718881286871143,0.002644638343401363,0.015712608524034243,377,2024-02-06,2026-02-06
2y,GATE_ON,chain,0.6070251900903474,-0.12478287736669347,2.6718881286871143,0.002644638343401363,0.015712608524034243,377,2024-02-06,2026-02-06
2y,GATE_OFF,fullcurve,0.14096162466793172,-0.04429186047351741,-2.1820036415142012,-0.0010019003678591485,0.007289023248320327,110,2024-04-16,2025-04-24
2y,GATE_OFF,chain,-0.07279519966942283,-0.08110073534112772,-2.1820036415142012,-0.0010019003678591485,0.007289023248320327,110,2024-04-16,2025-04-24
3y,ALL,fullcurve,0.37101576833108485,-0.166443754094872,1.6229799205819737,0.001371225038902555,0.013412071456090907,734,2023-02-06,2026-02-06
3y,GATE_ON,fullcurve,0.37101576833108485,-0.1664437540948719,2.2645909358221705,0.002097154809525582,0.014700800923571549,556,2023-02-06,2026-02-06
3y,GATE_ON,chain,0.44851642243939405,-0.13245047675197597,2.2645909358221705,0.002097154809525582,0.014700800923571549,556,2023-02-06,2026-02-06
3y,GATE_OFF,fullcurve,0.14615491345496912,-0.07275037637044302,-1.8379351625285927,-0.0008962859300098225,0.007741349279644165,178,2023-03-10,2025-04-24
3y,GATE_OFF,chain,-0.06369054682652486,-0.14836864543407768,-1.8379351625285927,-0.0008962859300098225,0.007741349279644165,178,2023-03-10,2025-04-24
5y,ALL,fullcurve,0.19454376881342927,-0.21976492037814488,1.087722061564069,0.0007732760212800225,0.011285397912263944,1226,2021-02-08,2026-02-06
5y,GATE_ON,fullcurve,0.19454376881342927,-0.21976492037814488,1.8083940111777952,0.0015362962072535485,0.01348596936088286,781,2021-02-08,2026-02-06
5y,GATE_ON,chain,0.25797484328501996,-0.13245047675197597,1.8083940111777952,0.0015362962072535485,0.01348596936088286,781,2021-02-08,2026-02-06
5y,GATE_OFF,fullcurve,0.031931181412553133,-0.19027292302141274,-1.6716840551280432,-0.0005658672714060984,0.005373541982237379,445,2021-08-03,2025-04-24
5y,GATE_OFF,chain,-0.06537673636637953,-0.2381314306767146,-1.6716840551280432,-0.0005658672714060984,0.005373541982237379,445,2021-08-03,2025-04-24
