ticker,name,market
000250,,KOSDAQ
003380,,KOSDAQ
005290,,KOSDAQ
006730,,KOSDAQ
007390,,KOSDAQ
009520,,KOSDAQ
014620,,KOSDAQ
015750,,KOSDAQ
018290,,KOSDAQ
023160,,KOSDAQ
025320,,KOSDAQ
025980,,KOSDAQ
028300,,KOSDAQ
030520,,KOSDAQ
030530,,KOSDAQ
031980,,KOSDAQ
032190,,KOSDAQ
032500,,KOSDAQ
032820,,KOSDAQ
033100,,KOSDAQ
033500,,KOSDAQ
035760,,KOSDAQ
035900,,KOSDAQ
036540,,KOSDAQ
036620,,KOSDAQ
036810,,KOSDAQ
036830,,KOSDAQ
036930,,KOSDAQ
038500,,KOSDAQ
039030,,KOSDAQ
039200,,KOSDAQ
041190,,KOSDAQ
041510,,KOSDAQ
042000,,KOSDAQ
043260,,KOSDAQ
044490,,KOSDAQ
045100,,KOSDAQ
047920,,KOSDAQ
048410,,KOSDAQ
049630,,KOSDAQ
052020,,KOSDAQ
052400,,KOSDAQ
053800,,KOSDAQ
056080,,KOSDAQ
056190,,KOSDAQ
058470,,KOSDAQ
058610,,KOSDAQ
060250,,KOSDAQ
060280,,KOSDAQ
060370,,KOSDAQ
064260,,KOSDAQ
064760,,KOSDAQ
065350,,KOSDAQ
067160,,KOSDAQ
067310,,KOSDAQ
067630,,KOSDAQ
068760,,KOSDAQ
069080,,KOSDAQ
074600,,KOSDAQ
078160,,KOSDAQ
078600,,KOSDAQ
079370,,KOSDAQ
080220,,KOSDAQ
082270,,KOSDAQ
082920,,KOSDAQ
083650,,KOSDAQ
084110,,KOSDAQ
084370,,KOSDAQ
085660,,KOSDAQ
086450,,KOSDAQ
086520,,KOSDAQ
086900,,KOSDAQ
087010,,KOSDAQ
089010,,KOSDAQ
089030,,KOSDAQ
089970,,KOSDAQ
090360,,KOSDAQ
090710,,KOSDAQ
093320,,KOSDAQ
094170,,KOSDAQ
095340,,KOSDAQ
095610,,KOSDAQ
095660,,KOSDAQ
096530,,KOSDAQ
098460,,KOSDAQ
099320,,KOSDAQ
